	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces 	Z.kombuchaensis
ASV_2	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces 	S.cerevisiae
ASV_3	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium 	A.pullulans
ASV_4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	NA
ASV_5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora 	H.valbyensis
ASV_6	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces 	B.anomalus
ASV_7	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces 	Z.kombuchaensis
ASV_8	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces 	B.bruxellensis
ASV_9	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces 	B.anomalus
ASV_10	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Starmerella 	S.davenportii
