Vineyard Phyla Count and Percentage,,,,,,,,,,
,,,,,,,,,,
,Proteobacteria,Firmicutes,Bacteroidetes,Actinobacteria,Halanaerobiaeota,Planctomycetes,Deinococcus-Thermus,Verrucomicrobia,Chloroflexi,Fusobacteria
OPF1D1b,246,1451,41,10,0,0,0,0,2,0
OPF1D2b,459,861,75,11,0,0,0,0,0,0
OPF1D3b,428,813,56,4,0,0,0,0,0,0
OPF1D4b,328,678,21,10,0,0,0,0,0,0
OPF1D5b,1068,518,0,0,0,2,0,0,0,0
OPF1D6b,1273,462,10,0,0,0,0,0,0,0
OPF1D7b,1099,157,0,6,0,0,0,0,0,0
OPF1D8b,1592,133,0,8,0,0,0,0,0,0
OPF1D9b,1260,53,0,0,0,0,0,0,0,0
OPF1D10b,2304,88,3,0,0,0,0,0,0,0
OPF1D11b,1815,182,0,0,0,0,0,0,0,0
OPF1D12b,2093,125,0,0,0,0,0,0,0,0
OPF1D13b,1951,332,10,0,0,0,0,3,0,0
OPF1D14b,1894,173,5,2,0,0,0,0,0,0
OPF1D15b,1867,303,4,20,0,0,0,0,0,0
OPF1D16b,1679,273,0,0,0,0,0,0,0,0
OPF1D17b,1672,274,0,0,0,0,0,0,0,0
OPF1D18b,1773,231,9,0,0,0,0,0,0,0
OPF1D19b,2432,195,18,0,0,0,0,0,0,0
OPF1D20b,2101,333,15,6,0,0,0,0,0,0
OPF1D21b,1558,136,6,0,0,0,0,0,0,0
OPF1D22b,2137,164,27,2,0,0,0,0,0,0
OPF1D23b,1795,223,6,18,0,0,0,0,0,0
OPF1D24b,1456,218,13,8,0,0,0,0,0,0
OPF1D25b,1184,293,2,0,0,0,0,0,0,0
OPF1D26b,1020,179,25,9,0,0,0,0,0,0
OPF1D27b,549,58,0,0,0,0,0,0,0,0
OPF1D28b,1888,769,27,10,0,0,0,5,0,0
OPF1D28APb,2219,375,41,4,0,0,0,0,0,0
Total,43140,10050,414,128,0,2,0,8,2,0
Sum Total,53744,,,,,,,,,
%,80.26942542,18.69976183,0.770318547,0.238166121,0,0.003721346,0,0.014885383,0.003721346,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Winery Phyla Count and Percentage,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Proteobacteria,Firmicutes,Bacteroidetes,Actinobacteria,Halanaerobiaeota,Planctomycetes,Deinococcus-Thermus,Verrucomicrobia,Chloroflexi,Fusobacteria
OPF7D1b,264,1094,5,10,0,0,0,0,0,0
OPF7D2b,146,196,10,0,0,0,0,0,0,0
OPF7D3b,252,631,10,10,0,0,0,0,0,0
OPF7D4b,467,990,16,0,0,0,0,0,0,0
OPF7D5b,303,787,10,33,0,0,0,0,0,0
OPF7D6b,327,1052,11,20,0,0,0,0,0,0
OPF7D7b,725,981,2,0,0,0,0,0,0,0
OPF7D8b,953,412,0,0,0,0,0,0,0,0
OPF7D9b,1379,222,0,0,0,0,0,0,0,0
OPF7D10b,915,283,7,0,0,0,0,0,0,0
OPF7D11b,1038,522,0,0,0,0,0,0,0,0
OPF7D12b,1359,391,26,10,0,0,0,0,0,0
OPF7D13b,1497,388,35,10,0,0,0,0,0,0
OPF7D14b,961,435,28,6,0,0,0,0,0,0
OPF7D15b,1424,379,57,0,0,0,0,0,0,0
OPF7D16b,886,298,83,19,0,0,0,0,0,2
OPF7D17b,1453,765,27,2,0,0,0,0,0,0
OPF7D18b,1546,903,29,6,0,0,0,0,0,0
OPF7D19b,1102,716,14,0,0,0,6,0,0,0
OPF7D20b,1163,530,35,12,0,0,0,0,0,0
OPF7D21b,1631,667,0,24,0,0,0,0,0,0
OPF7D22b,1739,777,49,0,0,0,0,0,0,0
OPF7D23b,1665,443,138,21,0,0,0,0,0,0
OPF7D24b,1320,568,27,23,0,0,0,0,0,0
OPF7D25b,1087,412,37,11,42,0,0,0,0,0
OPF7D26b,1531,733,111,53,0,0,0,0,0,0
OPF7D27b,1448,936,105,23,0,7,0,0,0,0
OPF7D28b,180,442,0,0,0,0,0,0,0,0
OPF7D28APb,1465,1188,64,15,0,3,0,0,0,0
Total ,30226,18141,936,308,42,10,6,0,0,2
Sum Total,49671,,,,,,,,,
%,60.85240885,36.52231684,1.884399348,0.620080127,0.084556381,0.020132472,0.012079483,0,0,0.004026494
