,Vineyard Ferment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S.cerevisiae,A.pullulans,H.uvarum,D.futilis,V.tephrensis ,A.thalictrigena,T.delbrueckii,B.ranunculi,E.necator,M.noctiluminum,S.roseus,S.bayanus,S.marginatum,R.graminis,C.intermedium,S.neotropicalis,L.thermotolerans,P.graminis,S.queiroziae,P.obducens,T.lilacina,A.mirabilis,P.lividum,V.tephrensis,C.urticae,C.ritchiei,F.asiaticum,S.symmetrica,M.mycenaphila,S.capensis,M.reukaufii,D.cajani,
OPF1D1f,89,351,0,63,49,30,0,0,4,0,6,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D2f,17,1437,3,165,352,65,0,15,69,0,20,0,14,15,0,2,4,6,0,0,9,0,0,0,0,0,0,4,4,0,0,0,
OPF1D3f,0,1991,8,111,275,59,0,47,14,0,23,13,8,10,8,0,7,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
OPF1D4f,15,2486,9,92,279,23,0,31,10,19,27,0,7,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D5f,28,5391,690,137,411,79,0,73,6,112,63,0,0,63,12,2,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
OPF1D6f,158,1839,250,36,165,19,0,17,0,35,15,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D7f,1188,1859,642,42,50,14,0,11,0,12,6,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,
OPF1D8f,2504,597,223,18,31,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D9f,404,116,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D10f,2025,349,154,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D11f,3072,637,176,18,11,0,0,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D12f,2384,358,163,13,8,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D13f,3884,624,300,25,19,9,0,12,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D14f,4501,529,183,7,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D15f,2544,332,165,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D16f,1113,118,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D17f,1176,162,53,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D18f,3071,335,123,12,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPF1D19f,3898,479,137,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
